zcta,state_abbr,final_rank,investment_category_sf,composite_score,projected_delta_2023_2030,target_proxy_2023,target_proxy_2030_projection,median_hh_income_2019,pop_25_44_2019,hh_over_100k_2019
89423,NV,3338,Neutral,0.12306072127203008,181.8007284312096,361.68212042851866,543.4828488597283,76906,1718,1558
11954,NY,3339,Neutral,0.12305058347674422,75.18756750471378,205.7117603731893,280.8993278779031,96389,621,701
80454,CO,3340,Neutral,0.12302127272068544,-17.925673229601347,50.83787878787879,32.91220555827745,113788,446,326
27948,NC,3341,Neutral,0.12298711663937513,286.58390316850074,504.0,790.5839031685007,57928,2775,1186
28630,NC,3342,Neutral,0.12296161057773083,323.03088603258954,520.7964705882353,843.8273566208247,52026,4645,1022
12443,NY,3343,Neutral,0.12282958115537793,80.48504109576672,154.33768397667313,234.82272507243985,96515,604,665
85648,AZ,3344,Neutral,0.12281035405739944,328.8222420876364,505.2393792345724,834.0616213222088,51365,4807,1222
11749,NY,3345,Neutral,0.1227848915116595,88.4808671003167,234.52666852834403,323.0075356286607,93555,992,416
33974,FL,3346,Neutral,0.12277528024025988,363.250843861948,340.3520951888257,703.6029390507737,49645,5728,692
85019,AZ,3347,Neutral,0.12270407630535965,403.0631466497059,531.9335656558167,934.9967123055226,39462,7431,926
77061,TX,3348,Neutral,0.12268208021596928,394.8938098882452,471.26351184091095,866.1573217291561,41980,7834,1315
92264,CA,3349,Neutral,0.1226500022579418,283.1761111738011,710.234074074074,993.410185247875,53778,2960,3060
32833,FL,3350,Neutral,0.12263220870377803,234.5877778678573,409.58992212551533,644.1776999933727,67554,2511,1152
31029,GA,3351,Neutral,0.12259046306202612,293.01429481972673,651.44710829556,944.4614031152868,53498,4351,1512
14059,NY,3352,Neutral,0.12247716339198986,184.53112379135564,460.1721024115585,644.7032262029142,73940,2003,1475
81657,CO,3353,Neutral,0.1224662448632445,130.56115898786672,391.850331925166,522.4114909130327,83571,2010,1040
27263,NC,3354,Neutral,0.12245293884166433,369.536344245166,451.20850943927866,820.7448536844447,46076,5228,1215
89820,NV,3355,Neutral,0.12243908818387973,116.17402376172039,288.762860727729,404.93688448944937,87934,1519,827
34266,FL,3356,Neutral,0.12241711694562138,451.161924445738,432.51474281782214,883.6766672635601,34078,9177,829
93728,CA,3357,Neutral,0.1223716662554516,420.15983901139896,551.5553465729934,971.7151855843923,36197,5577,564
95631,CA,3358,Neutral,0.12236004088356864,164.56490042224638,277.9062590135564,442.47115943580275,80772,1204,1080
10464,NY,3359,Neutral,0.12234740454702084,77.8392445728608,162.78726889772994,240.62651347059074,96366,1238,869
